date,code,open,close,high,low,volume,amount,change_pct,amplitude,turnover_rate,volume_ratio_5,volume_ratio_10,turnover_ratio_5,ma5_dev,ma10_dev,ma20_dev,return_3d,return_5d,return_10d,volatility_10d,price_position_10d,ma_bull_aligned,next_date,next_open_return,next_close_return,next_touch_limit_up,next_close_limit_up,score
2026-04-20,002106,10.7,11.16,11.38,10.69,285870,316105410.51,4.89,6.48,4.06,3.4811421390264927,3.3034462755194607,3.4879725085910644,3.7946428571428603,4.62173057091968,4.636444611129353,5.3824362606232246,4.592314901593264,10.604558969276523,2.0877885792991426,82.81249999999997,1,2026-04-21,-1.6319129646418795,-0.9066183136899331,0,0,102.0
2026-04-20,002123,9.96,10.34,10.66,9.95,404336,417794039.46,3.82,7.13,5.62,2.8378598419979895,2.870401855975875,2.8383838383838387,2.8855721393034717,3.400000000000003,3.690332932210172,4.55005055611728,3.1936127744510934,8.158995815899583,2.670195766726858,70.90909090909088,1,2026-04-21,-3.02734375,-2.148437500000011,0,0,102.0
2026-04-20,600391,40.39,42.11,43.17,39.9,278094,1164984974.0,4.8,8.14,8.42,2.8810209041690236,2.8254665269989765,2.879616963064295,4.047242538051021,4.753849598248716,5.971764350605224,5.804020100502516,4.803384768541563,9.263103269330575,2.8018709239453217,80.26070763500928,1,2026-04-21,-3.766388557806921,-2.4076281287246815,0,0,102.0
2026-04-20,603336,9.5,10.0,10.11,9.42,248162,246533707.0,5.82,7.3,4.08,3.276957165909145,3.1756403119821357,3.274478330658106,5.1524710830704645,7.169649555245949,11.240892151955073,7.181136120042875,9.769484083424818,14.155251141552515,2.7282749323104243,91.91176470588239,1,2026-04-21,2.402402402402415,3.103103103103111,0,0,102.0
2026-04-20,000803,8.17,8.71,8.9,8.14,491797,420693656.59,6.48,9.29,10.7,3.720351612439576,3.2294831679072256,3.720445062586926,4.612058611578185,3.665793858605104,2.17608070854598,6.219512195121979,5.447941888619878,5.5757575757575895,3.639632575293039,73.33333333333346,0,2026-04-21,-9.919261822376013,-9.45790080738178,0,0,100.0
2026-04-20,002392,7.16,7.77,7.87,7.13,622647,481845680.68,8.67,10.35,5.44,4.660084961919816,4.78686379532897,4.657534246575343,6.350944429236227,6.760098928276981,9.69153666972542,8.67132867132867,7.172413793103449,13.430656934306562,3.3830987329900775,90.65420560747658,1,2026-04-21,2.0000000000000018,3.499999999999992,0,0,100.0
2026-04-20,000725,4.06,4.19,4.24,4.05,11904594,4939630314.15,4.23,4.73,3.28,2.824304432299719,2.8407046944168477,2.832469775474957,3.405725567620932,4.021847070506457,5.052024570640579,4.75000000000001,3.970223325062028,6.61577608142494,1.6690673248737187,85.71428571428577,1,2026-04-21,0.23866348448686736,0.7159904534606021,0,0,99.0
2026-04-20,002600,14.29,14.64,14.85,14.03,2439697,3518706899.92,6.16,5.95,3.39,2.7443191724625113,2.8394745760975932,2.742718446601942,5.1271003877639165,7.4653160096895155,10.49056603773586,7.805596465390274,6.472727272727274,18.25525040387721,2.536008329475545,91.02564102564106,1,2026-04-21,-1.7241379310344862,-1.1034482758620734,0,0,99.0
2026-04-20,600784,7.52,7.78,8.16,7.48,286650,226368734.0,4.43,9.13,4.24,2.5869210901077007,3.0792615787862347,2.588522588522588,5.649103747963058,7.711477225529562,9.623784697759618,8.05555555555555,9.26966292134832,13.576642335766431,1.595050733895626,71.42857142857144,1,2026-04-21,-1.0322580645161339,-0.6451612903225823,0,0,99.0
2026-04-20,601113,4.53,4.71,4.88,4.53,501269,237971210.0,5.37,7.83,4.54,2.6402644957536148,2.755451602086643,2.6395348837209305,4.480922803904175,5.227882037533482,7.521972377582475,8.027522935779817,6.0810810810810745,11.876484560570066,2.7297019319733087,75.0,1,2026-04-21,0.42553191489360653,0.42553191489360653,0,0,99.0
2026-04-20,000778,4.54,4.75,4.91,4.54,1627971,779347160.03,6.5,8.3,4.18,3.908341047722943,3.2552798760732067,3.8992537313432822,4.856512141280378,4.441512752858401,4.625550660792954,6.502242152466375,6.502242152466375,3.4858387799564294,2.827209324446238,68.62745098039211,0,2026-04-21,-2.4691358024691357,-1.6460905349794275,0,0,97.0
2026-04-20,002887,11.25,11.74,12.0,11.17,89833,105503874.5,4.92,7.42,4.14,2.652538769532403,1.886542427411598,2.6538461538461537,3.0005264081417904,3.0547752808988804,3.627857710301008,4.262877442273538,2.3539668700959027,11.596958174904959,2.5692733850016127,83.95061728395062,1,2026-04-21,6.5404475043029375,6.970740103270234,0,0,97.0
